ISIN;nom;ticker
ES0173516115;Repsol;REP
FI0009000681;Nokia Corporation;NOA3
FI4000106299;Ferratum Oyj;FRU
FI4000297767;Nordea Bank Abp;04Q
FR0000120073;Air Liquide SA;AIL
FR0000120321;L'Oreal S.A.;LOR
FR0000121014;LVMH Moët Hennessy - Louis Vuitton Societe Europee;MOH
FR0000133308;Orange SA;FTE
GB00B7T77214;NatWest Group PLC;RYS1
GB00BH4HKS39;Vodafone Group PLC;VODI
GB00BP6MXD84;Shell PLC;R6C0
IE0002Y8CX98;WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc;EUDF
IE000KYX7IP4;Amundi S&P Global Financials ESG UCITS ETF DR EUR (A);WELK
IE000NDWFGA5;Global X Uranium UCITS ETF USD Accumulating;URNU
IE000S9YS762;Linde AG;LIN
IE00B3F81409;iShares Core Global Aggregate Bond UCITS ETF USD (Dist);EUNU
IE00B4ND3602;iShares Physical Gold ETC;PPFB
IE00B5MJYX09;Invesco European Industrials Sector UCITS ETF Acc;SC0S
IE00B6QGFW01;iShares Emerging Asia Local Government Bond UCITS ETF;IS0S
IE00BD8PGZ49;iShares USD Treasury Bond 20+yr UCITS ETF EUR Hedged (Dist);IUSV
IE00BDVPNG13;WisdomTree Artificial Intelligence UCITS ETF USD Acc;WTI2
IE00BGV5VN51;Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C;XAIX
IE00BJ5JPG56;iShares MSCI China UCITS ETF USD (Acc);ICGA
IE00BL25JP72;Xtrackers MSCI World Momentum UCITS ETF 1C;XDEM
IE00BMYDM794;L&G Hydrogen Economy UCITS ETF USD Acc;HTMW
IE00BSKRJZ44;iShares USD Treasury Bond 20+yr UCITS ETF USD (Dist);IS04
IE00BTN1Y115;Medtronic PLC;2M6
IE00BWZN1T31;iShares MSCI EMU USD Hedged UCITS ETF (Acc);CEBP
IE00BYTBXV33;Ryanair Holdings plc;RY4C
IE00BZ048462;iShares USD Floating Rate Bond UCITS ETF;QDVY
IT0003128367;Enel SpA;ENL
IT0003132476;Eni SpA;ENI
IT0005239360;UniCredit SpA;CRIN
LU0061462528;RTL Group SA;RRTL
LU0251710041;Cpi Property Group SA;O5G
LU0307018795;SAF-Holland SA;SFQ
LU0592217524;Xtrackers MSCI EFM Africa Top 50 Capped Swap UCITS ETF 1C;XMKA
LU0643975161;Xtrackers II Germany Government Bond UCITS ETF 1C;X03G
LU0775917882;Grand City Properties SA;GYC
LU1066226637;Stabilus SA;STM
LU1250154413;ADO Properties SA;ADJ
LU1296758029;Corestate Capital Holding SA;CCAP
LU1407888137;Amundi US Treasury Bond 7-10Y UCITS ETF EUR Hedged Acc;7USH
LU1598757687;ArcelorMittal;ARRD
LU1618151879;Logwin AG;TGHN
LU1673108939;Aroundtown SA;AT1
LU1704650164;Befesa SA;BFSA
LU1778762911;Spotify Technology SA;639
LU2010095458;Global Fashion Group SA;GFG
LU2333563281;Tonies SE;TNIE
MT0000580101;Media and Games Invest PLC;M8G
NL0000009538;Koninklijke Philips NV;PHI1
NL0000235190;Airbus SE;AIR
NL0000238145;ad pepper media International N.V;APM
NL0010273215;ASML Holding NV;ASME
NL0011585146;Ferrari NV;2FE
NL0011794037;Koninklijke Ahold Delhaize NV;AHOG
NL0011821202;ING Groep NV;INN1
NL0012169213;QIAGEN NV;QIA
NL00150001Q9;Stellantis NV;8TI
NL0015436031;CureVac NV;5CV
US00287Y1091;AbbVie Inc;4AB
US00486H1059;ADTRAN Holdings Inc.;QH9
US0079031078;Advanced Micro Devices Inc;AMD
US01609W1027;Alibaba Group Holding Ltd;AHLA
US02079K3059;Alphabet Inc Class A;ABEA
US0311621009;Amgen Inc.;AMG
US0378331005;Apple Inc;APC
US0394831020;Archer-Daniels-Midland Company;ADM
US0605051046;Bank of America Corp;NCB
US08862E1091;Beyond Meat Inc;0Q3
US09075V1026;BioNTech SE;22UA
US14448C1045;Carrier Global Corp;4PN
US1491231015;Caterpillar Inc;CAT1
US1729674242;Citigroup Inc;TRVC
US1912161007;The Coca-Cola Company;CCC3
US19260Q1076;Coinbase Global Inc;1QZ
US2546871060;The Walt Disney Company;WDP
US30303M1027;Meta Platforms Inc;FB2A
US31428X1063;FedEx Corporation;FDX
US3703341046;General Mills Inc;GIS
US40434L1052;HP Inc;7HP
US4062161017;Halliburton Company;HAL
US4581401001;Intel Corporation;INL
US4592001014;International Business Machines;IBM
US4781601046;Johnson & Johnson;JNJ
US5007541064;Kraft Heinz Co;KHNZ
US5324571083;Eli Lilly and Company;LLY
US5398301094;Lockheed Martin Corporation;LOM
US55087P1049;LYFT Inc;LY0
US57636Q1040;Mastercard Inc;M4I
US58933Y1055;Merck & Co. Inc;6MK
US5949181045;Microsoft Corporation;MSF
US6541061031;Nike Inc;NKE
US70450Y1038;PayPal Holdings Inc;2PP
US7134481081;PepsiCo Inc;PEP
US7170811035;Pfizer Inc;PFE
US7181721090;Philip Morris International Inc;4I1
US72919P2020;Plug Power Inc;PLUN
US75513E1010;Raytheon Technologies Corp;5UR
US79466L3024;Salesforce.com Inc;FOO
US83304A1060;Snap Inc;1SI
US88160R1014;Tesla Inc;TL0
US88579Y1010;3M Company;MMM
US91324P1021;UnitedHealth Group Incorporated;UNH
US92343V1044;Verizon Communications Inc.;BAC
US92826C8394;Visa Inc;3V64
US9311421039;Walmart Inc;WMT
US9314271084;Walgreens Boots Alliance Inc;W8A
US94106L1098;Waste Management Inc.;UWS
XS2434891219;Fidelity Physical Bitcoin ETP;FBTC
BE0003008019;Bque Nat. Belgique;BNB
BE0003215143;Floridienne;FLOB
BE0003463685;Cumulex;CLEX
BE0003470755;Solvay;SOLB
BE0003519270;Co.Br.Ha;COBH
BE0003545531;Solvac Nom(retail);SOLV
BE0003555639;TESSENDERLO;TESB
BE0003565737;Kbc;KBC
BE0003573814;What's Cooking Group;WHATS
BE0003592038;Cie Bois Sauvage;COMB
BE0003593044;Cofinimmo;COFB
BE0003599108;Immobel;IMMO
BE0003602134;Moury Construct;MOUR
BE0003604155;Lotus Bakeries;LOTB
BE0003605160;Distri-Land Cert;DISL
BE0003656676;Recticel;RECT
BE0003674851;Basilix Cert;BAS
BE0003680916;Neufcour-Fin.;MLNEU
BE0003696102;Accentis;ACCB
BE0003698124;Diegem Kennedycert;DIEG
BE0003699130;Gimv;GIMB
BE0003717312;Sofina;SOF
BE0003720340;Retail Est.-Sicafi;RET
BE0003723377;Beluga;BELU
BE0003724383;Wereldhav B-Sicafi;WEHB
BE0003730448;Questfor Gr-Pricaf;QFG
BE0003731453;Miko;MIKO
BE0003734481;Warehouses-Sicafi;WEB
BE0003735496;Orange Belgium;OBEL
BE0003739530;Ucb;UCB
BE0003741551;Roularta;ROU
BE0003746600;Intervest Offices;INTO
BE0003748622;IEP Invest;IEP
BE0003752665;Fountain;FOU
BE0003754687;VASTNED RETAIL;VASTB
BE0003755692;Agfa-Gevaert;AGFB
BE0003764785;Ackermans V.Haaren;ACKB
BE0003765790;GREENYARD;GREEN
BE0003766806;Iba;IBAB
BE0003770840;Nextensa NV;NEXTA
BE0003773877;SOFTIMAT;SOFT
BE0003789063;Deceuninck;DECB
BE0003797140;Gbl;GBLB
BE0003798155;Spadel;SPA
BE0003808251;Exmar;EXM
