ISIN;nom;ticker
LU0592217524f;Xtrackers MSCI EFM Africa Top 50 Capped Swap UCITS ETF 1C;XMKA
LU0643975161f;Xtrackers II Germany Government Bond UCITS ETF 1C;X03G
LU0775917882f;Grand City Properties SA;GYC
LU1066226637f;Stabilus SA;STM
LU1250154413f;ADO Properties SA;ADJ
LU1296758029f;Corestate Capital Holding SA;CCAP
LU1407888137f;Amundi US Treasury Bond 7-10Y UCITS ETF EUR Hedged Acc;7USH
LU1618151879f;Logwin AG;TGHN
LU1673108939f;Aroundtown SA;AT1
LU1704650164f;Befesa SA;BFSA
LU1778762911f;Spotify Technology SA;639
LU2010095458f;Global Fashion Group SA;GFG
LU2333563281f;Tonies SE;TNIE
NL0000009538f;Koninklijke Philips NV;PHI1
NL0000235190f;Airbus SE;AIR
NL0000238145f;ad pepper media International N.V;APM
NL0010273215f;ASML Holding NV;ASME
NL0011794037f;Koninklijke Ahold Delhaize NV;AHOG
NL0011821202f;ING Groep NV;INN1
NL0012169213f;QIAGEN NV;QIA
NL00150001Q9f;Stellantis NV;8TI
NL0015436031f;CureVac NV;5CV
US00287Y1091f;AbbVie Inc;4AB
US00486H1059f;ADTRAN Holdings Inc.;QH9
US0079031078f;Advanced Micro Devices Inc;AMD
US01609W1027f;Alibaba Group Holding Ltd;AHLA
US02079K3059f;Alphabet Inc Class A;ABEA
US0311621009f;Amgen Inc.;AMG
US0378331005f;Apple Inc;APC
US0394831020f;Archer-Daniels-Midland Company;ADM
US0605051046f;Bank of America Corp;NCB
US08862E1091f;Beyond Meat Inc;0Q3
US09075V1026f;BioNTech SE;22UA
US1491231015f;Caterpillar Inc;CAT1
US1729674242f;Citigroup Inc;TRVC
US1912161007f;The Coca-Cola Company;CCC3
US19260Q1076f;Coinbase Global Inc;1QZ
US2546871060f;The Walt Disney Company;WDP
US30303M1027f;Meta Platforms Inc;FB2A
US31428X1063f;FedEx Corporation;FDX
US3703341046f;General Mills Inc;GIS
US40434L1052f;HP Inc;7HP
US4062161017f;Halliburton Company;HAL
US4581401001f;Intel Corporation;INL
US4592001014f;International Business Machines;IBM
US4781601046f;Johnson & Johnson;JNJ
US5007541064f;Kraft Heinz Co;KHNZ
US5324571083f;Eli Lilly and Company;LLY
US5398301094f;Lockheed Martin Corporation;LOM
US55087P1049f;LYFT Inc;LY0
US57636Q1040f;Mastercard Inc;M4I
US58933Y1055f;Merck & Co. Inc;6MK
US5949181045f;Microsoft Corporation;MSF
US6541061031f;Nike Inc;NKE
US70450Y1038f;PayPal Holdings Inc;2PP
US7134481081f;PepsiCo Inc;PEP
US7170811035f;Pfizer Inc;PFE
US7181721090f;Philip Morris International Inc;4I1
US72919P2020f;Plug Power Inc;PLUN
US75513E1010f;Raytheon Technologies Corp;5UR
US79466L3024f;Salesforce.com Inc;FOO
US83304A1060f;Snap Inc;1SI
US88160R1014f;Tesla Inc;TL0
US88579Y1010f;3M Company;MMM
US91324P1021f;UnitedHealth Group Incorporated;UNH
US92343V1044f;Verizon Communications Inc.;BAC
US92826C8394f;Visa Inc;3V64
US9311421039f;Walmart Inc;WMT
US9314271084f;Walgreens Boots Alliance Inc;W8A
