ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
DE0005104806;SYZ.DE;Communication Services;Advertising Agencies;https://www.syzygy-group.net/;SYZYGY AG;1.47;0.31;4.74;-1.18;1.91;0.44;2.78;4.74
DE0005110001;A1OS.DE;Technology;Information Technology Services;https://www.all-for-one.com/;All for One Group SE;42.4;4.13;10.27;-4.29;-848.0;0.42;0.07;44.59
DE0005118806;TGT.DE;Communication Services;Telecom Services;https://www.11880.com/;11880 Solutions AG;0.67;-0.11;-6.09;-1.81;-4.79;0.26;19.0;0.15
DE0005137004;QBY.DE;Technology;Information Technology Services;https://www.qbeyond.de/;q.beyond AG;0.756;0.6;1.26;2.8;1.51;0.81;2.69;0.34
DE0005140008;DBK.DE;Financial Services;Banks - Regional;https://www.db.com/;Deutsche Bank Aktiengesellschaft;33.55;35.33;0.95;0.86;0.86;0.06;0.08;-31.32
DE0005146807;DEX.DE;Consumer Cyclical;Auto Parts;https://www.delti.com/;Delticom AG;2.31;1.02;2.26;-0.47;8.25;0.22;1.04;7.35
DE0005156236;SCE.DE;Technology;Electronic Components;https://www.schweizer.ag/;Schweizer Electronic AG;5.4;5.58;0.97;-0.83;-0.83;0.23;0.54;0.18
DE0005157101;HNL.DE;Industrials;Electrical Equipment & Parts;https://www.hoenle.de/;Hoenle AG;9.28;11.02;0.84;0.84;0.84;0.51;0.14;-5.79
DE0005158703;BC8.DE;Technology;Information Technology Services;https://www.bechtle.com/;Bechtle AG;44.96;7.16;6.28;17.03;17.03;0.55;0.03;11.49
DE0005167902;UUU.DE;Industrials;Building Products & Equipment;https://www.3u.net/;3U Holding AG;1.335;1.89;0.71;19.07;19.07;0.65;23.09;3.6
