ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0000054132;Consumer Cyclical;Auto Parts;https://www.delfingen.com/;Delfingen Industry S.A.;13.25;111.2;0.12;0.08;0.4;0.2
DE000A2E4K43;Consumer Cyclical;Internet Retail;https://www.deliveryhero.com/;Delivery Hero SE;35.8;47.6;0.75;0.88;0.18;0.0
FR0013283108;;;https://twitter.com/YahooFinance;;64.8;0;0;0;0;0.0
BE0974413453;Industrials;Engineering & Construction;https://www.deme-group.com/;DEME Group NV;147.8;186.95;0.79;0.83;0.43;0.0
IT0005528937;Consumer Cyclical;Leisure;https://deodato.group/;Deodato.Gallery S.p.A.;0.344;0.27;1.27;0.82;0.44;0.0
FR0000053381;Industrials;Waste Management;https://www.derichebourg.com/;Derichebourg SA;4.9;14.48;0.34;0.33;0.41;0.52
NO0010963275;Basic Materials;Agricultural Inputs;https://www.desertcontrol.com/;Desert Control AS;5.05;1.69;2.99;3.12;0.95;0.0
IT0005454027;Consumer Cyclical;Travel Services;https://www.destinationitalia.com/;Destination Italia S.p.A.;0.62;2.23;0.28;0.24;0.16;0.0
DE0005140008;Financial Services;Banks - Regional;https://www.db.com/;Deutsche Bank Aktiengesellschaft;16.854;0;0;0;0.06;0.16
DE0005810055;Financial Services;Financial Data & Stock Exchanges;https://deutsche-boerse.com/dbg-de/;Deutsche Börse AG;222.7;1599.01;0.14;0.07;0.03;0.01
DE0007480204;Real Estate;Real Estate Services;https://www.deutsche-euroshop.de/;Deutsche EuroShop AG;19.42;56.21;0.35;0.55;0.43;0.25
DE0008232125;Industrials;Airlines;https://www.lufthansagroup.com/;Deutsche Lufthansa AG;6.668;0;0;0;0.22;0.81
DE0005552004;Industrials;Integrated Freight & Logistics;https://group.dhl.com/;Deutsche Post AG;35.59;0;0;0;0.33;0.1
DE000A0XYG76;Energy;Oil & Gas E&P;https://www.rohstoff.de/;Deutsche Rohstoff AG;31.9;97.96;0.33;0.43;0.42;0.09
DE0005557508;Communication Services;Telecom Services;https://www.telekom.com/;Deutsche Telekom AG;30.6;0;0;0;0.2;0.13
DE000A0HN5C6;Real Estate;Real Estate Services;https://www.deutsche-wohnen.com/;Deutsche Wohnen SE;25.25;66.91;0.38;0.6;0.5;0.05
DE0006305006;Industrials;Specialty Industrial Machinery;https://www.deutz.com/;DEUTZ Aktiengesellschaft;4.1;10.22;0.4;0.33;0.48;0.47
FR0000060840;Consumer Cyclical;Apparel Manufacturing;https://www.devernois.com/;Devernois S.A.;10.3;0;0;0;0.42;0.39
IT0005543480;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.italiandesignbrands.com/;Dexelance S.p.A.;8.66;14.67;0.59;0.49;0.34;0.0
NL0009169515;Basic Materials;Lumber & Wood Production;https://www.green.earth/;DGB Group N.V.;0.888;0.53;1.68;1.01;0.84;5.45
IT0005203622;Technology;Software - Infrastructure;https://dhh.international/;Dominion Hosting Holding S.p.A.;24.8;7.62;3.25;2.55;0.44;0.0
FR001400IAQ8;;;https://twitter.com/YahooFinance;;0.0015;0;0;0;0.27;0.0
FR0012202497;Healthcare;Medical Devices;https://www.dms.com/;Diagnostic Medical Systems S.A.;0.68;2.32;0.29;0.17;0.27;0.0
IT0003492391;Healthcare;Diagnostics & Research;https://diasoringroup.com/en;DiaSorin S.p.A.;103.4;35.28;2.93;2.35;0.52;0.01
BE0003698124;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immolease Trust NV;106.0;0;0;0;0;0.0
IT0001469995;Communication Services;Electronic Gaming & Multimedia;https://digitalbros.com/;Digital Bros S.p.A.;9.96;5.86;1.7;1.27;0.62;0.0
IT0005347429;Technology;Information Technology Services;https://www.digitalvalue.it/;Digital Value S.p.A.;24.35;69.3;0.35;0.22;0.26;0.0
IT0005089476;Communication Services;Advertising Agencies;https://www.gruppodigitouch.it/;DigiTouch S.p.A.;1.96;2.95;0.66;0.4;0.34;0.0
IT0001463063;Financial Services;Capital Markets;https://www.directa.it/;Directa Sim S.p.A.;4.02;5.06;0.79;0.5;0.44;0.0
BE0003605160;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immobiliere Distri-Land NV;191.0;0;0;0;0;0.05
BE0974289218;;;https://twitter.com/YahooFinance;;0.015;0;0;0;0;0.0
NO0010161896;Financial Services;Banks - Regional;https://www.dnb.no/;DNB Bank ASA;226.8;0;0;0;0.07;0.02
NO0003921009;Energy;Oil & Gas E&P;https://www.dno.no/;DNO ASA;9.8;2.78;3.53;3.06;0.4;0.0
FR0010436584;Communication Services;Internet Content & Information;https://www.dnxcorp.com/;DNXCorp SE;16.4;6.07;2.7;1.59;0.7;0.67
